"","BlobID","Compound.Name","Library.Name","Compound.Name_ES","Library.Match.Factor_ES","Library.Reverse.Match.Factor_ES","LRI.I","Library.RI_ES","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Library.Reverse.Match.Factor_NISTmain","Library.RI_NISTmain","Library.Formula_NISTmain","Formula_Underivitized_forMod","Cstar_Cat","Library.Molecular.Weight_NISTmain","Model_Quant","Model_Properties","Notes","under_1500","slope.i.q.p","Quant_Factor_RFpred","Quant_Factor_final","slope.avg"
"23",1063,"20200803_1535_blob_1063_","caice_ssa_final_0803_1535","C7 acid",309,313,1634.177215,NA,"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",889,893,NA,"C14H18O","C14H18O",NA,202,TRUE,FALSE,NA,FALSE,0.934056549799328,0.00510971370383205,0.00510971370383205,NA
"24",1046,"20200803_1535_blob_1046_","caice_ssa_final_0803_1535","ionone",0,613,1489.265537,1447,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",870,873,1471,"C14H20O2","C14H20O2",NA,220,TRUE,FALSE,NA,TRUE,1.44168257290409,0.0151604007316824,0.0151604007316824,NA
"25",556,"20200803_1535_blob_556_","caice_ssa_final_0803_1535","anthraquinone",935,937,2015.267176,2017,"9,10-Anthracenedione",816,904,1950,"C14H8O2","C14H8O2",NA,208,FALSE,FALSE,NA,FALSE,0.723292206468012,0.000705699066893486,0.000662564079361059,0.000662564079361059
"26",783,"20200803_1535_blob_783_","caice_ssa_final_0803_1535","C7 acid",287,372,1947.222222,NA,"1H-Cyclopropa[l]phenanthrene,1a,9b-dihydro-",867,882,NA,"C15H12","C15H12",NA,192,TRUE,FALSE,NA,FALSE,1.15088368737662,0.000401292569945664,0.000401292569945664,NA
"27",866,"20200803_1535_blob_866_","caice_ssa_final_0803_1535","C13 acid",410,434,1777.21519,1776,"Octanal, 2-(phenylmethylene)-",816,831,1750,"C15H20O","C15H20O",NA,216,TRUE,FALSE,NA,FALSE,2.15803074634375,0.000492544842078699,0.000492544842078699,NA
"28",26,"20200803_1535_blob_26_","caice_ssa_final_0803_1535","benzophenone",0,623,1739.240506,1662,"Benzoic acid, 2-ethylhexyl ester",918,919,1735,"C15H22O2","C15H22O2",NA,234,TRUE,FALSE,NA,FALSE,1.87688502503399,0.000843788863553451,0.000843788863553451,NA
"29",560,"20200803_1535_blob_560_","caice_ssa_final_0803_1535","ionone",0,493,1788.607595,1447,"3,5-di-tert-Butyl-4-hydroxybenzaldehyde",931,938,1772,"C15H22O2","C15H22O2",NA,234,TRUE,FALSE,NA,FALSE,2.37741025806222,0.00039668781051631,0.00039668781051631,NA
"30",7,"20200803_1535_blob_7_","caice_ssa_final_0803_1535","C16",0,502,1837.5,1627,"2-Ethylhexyl salicylate",912,915,1811,"C15H22O3","C15H22O3",NA,250,TRUE,FALSE,NA,FALSE,1.25756577105931,0.000448816083869466,0.000448816083869466,NA
"31",1058,"20200803_1535_blob_1058_","caice_ssa_final_0803_1535","erythreitol",430,433,1531.073446,1529,"Butylated Hydroxytoluene",859,871,1513,"C15H24O","C15H24O",NA,220,TRUE,FALSE,NA,FALSE,0.937460436048857,0.0150307090351407,0.0150307090351407,NA
"32",657,"20200803_1535_blob_657_","caice_ssa_final_0803_1535","C7 acid",341,359,1751.898734,NA,"Methyl tetradecanoate",902,913,1725,"C15H30O2","C15H30O2",NA,242,TRUE,FALSE,NA,FALSE,1.43495415740374,0.00096629725674774,0.00096629725674774,NA
"33",698,"20200803_1535_blob_698_","caice_ssa_final_0803_1535","pyrene",838,873,2169.465649,2170,"Benzene, 1,1'-(1,3-butadiyne-1,4-diyl)bis-",810,862,NA,"C16H10","C16H10",NA,202,FALSE,FALSE,NA,FALSE,0.884976417743434,0.000723508975651282,0.000150166180044967,0.000150166180044967
"34",671,"20200803_1535_blob_671_","caice_ssa_final_0803_1535","C7 acid",262,345,2080.916031,NA,"Phenanthrene, 2,3-dimethyl-",884,913,2058,"C16H14","C16H14",NA,206,TRUE,FALSE,NA,FALSE,1.61645478295337,0.000347760973792663,0.000347760973792663,NA
"35",748,"20200803_1535_blob_748_","caice_ssa_final_0803_1535","C7 acid",297,393,2088.549618,NA,"Anthracene, 1,4-dimethyl-",853,892,NA,"C16H14","C16H14",NA,206,TRUE,FALSE,"RI could potentially be slightly off, the posted",FALSE,1.61645478295337,0.00035168530637683,0.00035168530637683,NA
"36",758,"20200803_1535_blob_758_","caice_ssa_final_0803_1535","C7 acid",291,400,2067.175573,NA,"Phenanthrene, 1,7-dimethyl-",829,901,2051,"C16H14","C16H14",NA,206,TRUE,FALSE,NA,FALSE,1.60218100330347,0.00034384343780289,0.00034384343780289,NA
"37",695,"20200803_1535_blob_695_","caice_ssa_final_0803_1535","DL-B-hydroxymyristic acid",308,317,2062.59542,2058,"Phenanthrene, 1,7-dimethyl-",879,915,2051,"C16H14","C16H14",NA,206,TRUE,FALSE,NA,FALSE,1.64478291229175,0.000332689967240847,0.000332689967240847,NA
"38",5,"20200803_1535_blob_5_fb","caice_ssa_final_0803_1535","homosalate, TMS",951,951,2054.961832,2055,"Homosalate, TMS derivative",850,912,1998,"C19H30O3Si","C16H22O3",NA,334,FALSE,FALSE,NA,FALSE,1.31397538472965,0.000411801267742899,0.000336053632009576,0.000336053632009576
"39",2,"20200803_1535_blob_2_","caice_ssa_final_0803_1535","a-bisabolol",0,485,1927.777778,1719,"Homosalate",942,942,1904,"C16H22O3","C16H22O3",NA,262,TRUE,FALSE,NA,FALSE,1.33082587643969,0.00033725448417962,0.00033725448417962,NA
"40",13,"20200803_1535_blob_13_","caice_ssa_final_0803_1535","xanthone",259,265,1901.388889,1905,"Homosalate",941,942,1904,"C16H22O3","C16H22O3",NA,262,TRUE,FALSE,NA,FALSE,1.34820018459464,0.000320241477168984,0.000320241477168984,NA
"41",6,"20200803_1535_blob_6_","caice_ssa_final_0803_1535","glucose-13C6",832,840,1987.5,1986,"Dibutyl phthalate",928,933,1965,"C16H22O4","C16H22O4",NA,278,TRUE,FALSE,NA,FALSE,1.16120377215266,0.000421985927040829,0.000421985927040829,NA
"42",134,"20200803_1535_blob_134_","caice_ssa_final_0803_1535","glucose-13C6",0,840,1891.666667,1986,"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",884,887,1870,"C16H22O4","C16H22O4",NA,278,TRUE,FALSE,NA,FALSE,1.10234844208741,0.000386105757843599,0.000386105757843599,NA
"43",755,"20200803_1535_blob_755_","caice_ssa_final_0803_1535","glucose-13C6",0,849,1938.888889,1986,"Dibutyl phthalate",865,932,1965,"C16H22O4","C16H22O4",NA,278,TRUE,FALSE,"Note- Ri's don<U+0092>t match, but match factor so good I think they are a match (at least to isomers)",FALSE,1.07242104752406,0.000425409434289539,0.000425409434289539,NA
"44",17,"20200803_1535_blob_17_","caice_ssa_final_0803_1535","DEET",0,587,1863.888889,1599,"p-Toluic acid, 2-ethylhexyl ester",883,885,NA,"C16H24O2","C16H24O2",NA,248,TRUE,FALSE,NA,FALSE,1.67629857441533,0.000255218399697302,0.000255218399697302,NA
"45",23,"20200803_1535_blob_23_fb","caice_ssa_final_0803_1535","20200803_1919_blob_579",912,912,1613.924051,1614,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",888,892,1588,"C16H30O4","C16H30O4",NA,286,TRUE,FALSE,NA,FALSE,1.00279753535459,0.00588725398040064,0.00588725398040064,NA
"46",797,"20200803_1535_blob_797_","caice_ssa_final_0803_1535","C18",549,621,1829.166667,1831,"2-Hexadecanone",762,839,1805,"C16H32O","C16H32O",NA,240,TRUE,FALSE,"match factor not amazing, but seems close enough",FALSE,2.058814364062,0.000299214541603851,0.000299214541603851,NA
"47",106,"20200803_1535_blob_106_fb","caice_ssa_final_0803_1535","C16 Acid",901,905,2077.862595,2079,"Palmitic Acid, TMS derivative",895,900,2050,"C19H40O2Si","C16H32O2",NA,328,FALSE,FALSE,NA,FALSE,0.94943051712596,0.000589429494921039,0.000388476129239798,0.000388476129239798
"48",945,"20200803_1535_blob_945_","caice_ssa_final_0803_1535","C9 Diacid (azelaic acid)",404,423,1820.833333,1822,"Tetradecanoic acid, ethyl ester",748,818,1794,"C16H32O2","C16H32O2",NA,256,TRUE,FALSE,"match factor not amazing, but seems close enough",FALSE,1.30099862566633,0.000516801562592319,0.000516801562592319,NA
"49",418,"20200803_1535_blob_418_","caice_ssa_final_0803_1535","Hexadecanol",915,929,1990.277778,1992,"1-Hexadecanol, TMS derivative",894,932,1958,"C19H42OSi","C16H34O",NA,314,FALSE,FALSE,NA,FALSE,2.89733981457574,0.00016981667789322,0.000363217309803126,0.000363217309803126
"50",458,"20200803_1535_blob_458_","caice_ssa_final_0803_1535","20200803_1919_blob_596",0,762,1569.491525,1408,"Heptasiloxane, hexadecamethyl-",867,889,1553,"C16H48O6Si7","C16H48O6Si7",NA,532,TRUE,FALSE,NA,FALSE,1.14014618758345,0.00825623221639047,0.00825623221639047,NA
"51",700,"20200803_1535_blob_700_","caice_ssa_final_0803_1535","C7 acid",268,370,2293.333333,NA,"Pyrene, 4-methyl-",855,910,2259,"C17H12","C17H12",NA,216,TRUE,FALSE,NA,FALSE,1.06085372314791,0.000724100491554552,0.000724100491554552,NA
"52",688,"20200803_1535_blob_688_","caice_ssa_final_0803_1535","C7 acid",287,374,2192.366412,NA,"Phenanthrene, 2,3,5-trimethyl-",853,886,NA,"C17H16","C17H16",NA,220,TRUE,FALSE,"no RI could be identified so hard to tell if this is reasonable",FALSE,1.44807661706291,0.00045730318143334,0.00045730318143334,NA
"53",1104,"20200803_1535_blob_1104_","caice_ssa_final_0803_1535","C7 acid",289,377,1938.888889,NA,"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",866,914,1923,"C17H24O3","C17H24O3",NA,276,TRUE,FALSE,NA,FALSE,2.98405333550332,0.000152885347496798,0.000152885347496798,NA
"54",822,"20200803_0949_blob_822_","caice_ssa_final_0805_0949","C17 acid",719,778,2176.923077,2177,"Heptadecanoic acid, TMS derivative",714,839,2146,"C20H42O2Si","C17H34O2",NA,342,FALSE,FALSE,NA,FALSE,1.0203002010501,0.000634466311596716,0.000968874665585379,0.000968874665585379
"55",16,"20200803_1535_blob_16_","caice_ssa_final_0803_1535","FAME16 (Methyl Palmitate)",952,952,1956.944444,1958,"Hexadecanoic acid, methyl ester",917,927,1926,"C17H34O2","C17H34O2",NA,270,FALSE,FALSE,NA,FALSE,1.11443551715552,0.000420382279039525,0.000388656793067651,0.000388656793067651
"56",688,"20200803_0949_blob_688_","caice_ssa_final_0805_0949","FAME16 (Methyl Palmitate)",686,815,1956.338028,1958,"Cyclopropanebutanoic acid, 2-[[2-[[2-[(2-pentylcyclopropyl)methyl]cyclopropyl]methyl]cyclopropyl]methyl]-, methyl ester",720,732,NA,"C25H42O2","C25H42O2",NA,374,FALSE,FALSE,NA,FALSE,1.13998854912683,0.000410593161817192,0.000388656793067651,0.000388656793067651
"57",511,"20200803_1535_blob_511_","caice_ssa_final_0803_1535","C7 acid",356,412,1852.777778,NA,"Isopropyl myristate",882,894,1827,"C17H34O2","C17H34O2",NA,270,TRUE,FALSE,NA,FALSE,1.83128478159261,0.000262527715615265,0.000262527715615265,NA
"58",772,"20200803_1535_blob_772_","caice_ssa_final_0803_1535","chrysene",811,899,2524.324324,2527,"naphthalene, 1-(2-phenylethynyl)-",766,908,NA,"C18H12","C18H12",NA,228,FALSE,FALSE,NA,FALSE,0.82544749028143,0.00130687040010664,0.00144798514379773,0.00144798514379773
"59",856,"20200803_1535_blob_856_","caice_ssa_final_0803_1535","chrysene",728,884,2527.927928,2527,"Benzo[b]naphtho[e](1-oxoindano)[2,3-h]bicylo[2.2.2]octane",690,751,NA,"C27H18O","C18H12",NA,358,FALSE,FALSE,NA,FALSE,0.851091623639025,0.0012742253590302,0.00144798514379773,0.00144798514379773
"60",97,"20200803_1535_blob_97_","caice_ssa_final_0803_1535","20200803_1919_blob_596",0,493,1880.555556,1408,"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl-",878,915,1851,"C18H26O","C18H26O",NA,258,TRUE,FALSE,NA,FALSE,1.74913365416096,0.000239391484813068,0.000239391484813068,NA
"61",750,"20200803_0949_blob_750_","caice_ssa_final_0805_0949","oleic Acid, TMS",781,789,2250.420168,2252,"13-Octadecenoic acid, (E)-, TMS derivative",793,798,2228,"C21H42O2Si","C18H34O2",NA,354,FALSE,FALSE,NA,FALSE,0.993810646049838,0.00072569542445693,0.000488617059766172,0.000488617059766172
"62",18,"20200803_1535_blob_18_","caice_ssa_final_0803_1535","d-C15 alcohol, TMS",260,264,1873.611111,1869,"2-Pentadecanone, 6,10,14-trimethyl-",895,915,1844,"C18H36O","C18H36O",NA,268,TRUE,FALSE,NA,FALSE,2.41688731922307,0.000171491211351183,0.000171491211351183,NA
"63",750,"20200803_1535_blob_750_","caice_ssa_final_0803_1535","Benzothiazole, 2-phenyl-",285,346,2024.427481,2024,"Hexadecanoic acid, ethyl ester",777,844,1993,"C18H36O2","C18H36O2",NA,284,TRUE,FALSE,"match factor not amazing, but seems close enough",FALSE,1.16376481743244,0.000444545442221557,0.000444545442221557,NA
"64",1064,"20200803_1535_blob_1064_","caice_ssa_final_0803_1535","C18",835,864,1830.555556,1831,"Heptadecane, 2,6-dimethyl-",808,859,NA,"C19H40","C18H38",NA,268,FALSE,FALSE,NA,FALSE,1.09069597389786,0.000556625007476549,0.000530461908718446,0.000530461908718446
"65",691,"20200803_1535_blob_691_oil","caice_ssa_final_0803_1535","octadecanol",831,856,2189.312977,2189,"1-Dimethylthexylsilyloxyoctadecane",813,835,NA,"C26H56OSi","C18H38O",NA,412,FALSE,FALSE,NA,FALSE,2.39920130003368,0.000274776585955031,0.000158071312807459,0.000158071312807459
"66",1005,"20200803_1535_blob_1005_","caice_ssa_final_0803_1535","isopimaric acid",0,492,2644.660194,2383,"Benz[a]anthracene, 7-methyl-",801,868,2669,"C19H14","C19H14",NA,242,TRUE,FALSE,"RI might be a bit off",FALSE,1.06403217525733,0.00121001619368021,0.00121001619368021,NA
"67",800,"20200803_0949_blob_800_","caice_ssa_final_0805_0949","benzophenone",0,655,2349.579832,1662,"Benzoic acid, tridecyl ester",777,844,2340,"C20H32O2","C20H32O2",NA,304,TRUE,FALSE,"match factor not amazing, but seems close enough",FALSE,1.68379533098815,0.000495534089168313,0.000495534089168313,NA
"68",947,"20200803_1535_blob_947_","caice_ssa_final_0803_1535","C20",844,868,2033.587786,2035,"Eicosane",839,883,2000,"C20H42","C20H42",NA,282,FALSE,FALSE,NA,FALSE,1.17762500112687,0.000445268963957715,0.000421989795815514,0.000421989795815514
"69",742,"20200803_1535_blob_742_","caice_ssa_final_0803_1535","C21",874,886,2135.877863,2136,"Heneicosane",845,881,2100,"C21H44","C21H44",NA,296,FALSE,FALSE,NA,FALSE,1.22814521147913,0.000496230011640275,0.000378969975448729,0.000378969975448729
"70",543,"20200803_1535_blob_543_oil","caice_ssa_final_0803_1535","C22",884,887,2238.333333,2238,"Heptadecane, 2,3-dimethyl-",847,870,NA,"C19H40","C22H46",NA,268,FALSE,FALSE,NA,FALSE,1.31286595692556,0.000539661270270172,0.000453444762893942,0.000453444762893942
"71",735,"20200803_0949_blob_735_oil","caice_ssa_final_0805_0949",NA,NA,NA,2518.181818,NA,"Carbonic acid, eicosyl vinyl ester",758,814,2497,"C23H44O3","C23H44O3",NA,368,TRUE,FALSE,"match factor not amazing, but seems close enough",FALSE,2.1474565530968,0.000497824346069568,0.000497824346069568,NA
"72",33,"20200803_1535_blob_33_oil","caice_ssa_final_0803_1535","C23",885,887,2341.666667,2342,"Heptadecane, 2,3-dimethyl-",846,871,NA,"C19H40","C23H48",NA,268,FALSE,FALSE,NA,FALSE,1.39446314338835,0.000591430790393979,0.000365574358390699,0.000365574358390699
"73",484,"20200803_1535_blob_484_oil","caice_ssa_final_0803_1535","C23",766,833,2348.333333,2342,"Tetracosane, 11-decyl-",830,831,NA,"C34H70","C23H48",NA,478,FALSE,FALSE,NA,FALSE,2.22147781624663,0.000374908317343373,0.000365574358390699,0.000365574358390699
"74",622,"20200803_1535_blob_622_","caice_ssa_final_0803_1535","glucose-13C6",0,781,2576.576577,1986,"Diisooctyl phthalate",850,874,2543,"C24H38O4","C24H38O4",NA,390,TRUE,FALSE,NA,FALSE,1.46184138657533,0.0007968567055613,0.0007968567055613,NA
"75",29,"20200803_1535_blob_29_oil","caice_ssa_final_0803_1535","C24",893,894,2443.243243,2443,"Heptadecane, 2,3-dimethyl-",862,884,NA,"C19H40","C24H50",NA,268,FALSE,FALSE,NA,FALSE,1.26662905444194,0.000755978283578753,0.0011151414876568,0.0011151414876568
"76",443,"20200803_1535_blob_443_oil","caice_ssa_final_0803_1535","C25",922,922,2545.945946,2545,"Heptadecane, 2,3-dimethyl-",860,876,NA,"C19H40","C25H52",NA,268,FALSE,FALSE,NA,FALSE,1.21085576930844,0.000919672244439054,0.00155537750031772,0.00155537750031772
"77",451,"20200803_1535_blob_451_","caice_ssa_final_0803_1535","C28",427,587,2847.42268,2852,"Decanedioic acid, bis(2-ethylhexyl) ester",827,915,2778,"C26H50O4","C26H50O4",NA,426,TRUE,FALSE,"RI might be a bit off, potentially rechedk",FALSE,1.58768383195235,0.00109251675338493,0.00109251675338493,NA
"78",659,"20200803_1535_blob_659_","caice_ssa_final_0803_1535","C26",901,910,2646.601942,2649,"Heptadecane, 2,3-dimethyl-",866,894,NA,"C19H40","C26H54",NA,268,FALSE,FALSE,NA,FALSE,1.01431117471306,0.00127295886566778,0.00260492162116123,0.00260492162116123
"79",469,"20200803_1535_blob_469_oil","caice_ssa_final_0803_1535","C34",0,824,2376.666667,3461,"Heneicosane, 11-(1-ethylpropyl)-",818,823,NA,"C26H54","C26H54",NA,366,TRUE,FALSE,"kovats might be a bit off",FALSE,2.18176895369654,0.000397966636140468,0.000397966636140468,NA
"80",739,"20200803_1535_blob_739_","caice_ssa_final_0803_1535","C27",885,895,2749.514563,2750,"Eicosane, 7-hexyl-",858,863,NA,"C26H54","C27H56",NA,366,FALSE,FALSE,NA,FALSE,0.977745651987345,0.00153624481660503,0.00223060257206414,0.00223060257206414
"81",1012,"20200803_1535_blob_1012_","caice_ssa_final_0803_1535","C28",810,851,2851.546392,2852,"Eicosane, 7-hexyl-",820,834,NA,"C26H54","C28H58",NA,366,FALSE,FALSE,NA,FALSE,1.24019032152072,0.00140713712316879,0.000877634494471636,0.000877634494471636
"82",1453,"20200803_1535_blob_1453_","caice_ssa_final_0803_1535","C29",749,806,2952.57732,2954,"Eicosane, 7-hexyl-",764,789,NA,"C26H54","C29H60",NA,366,FALSE,FALSE,NA,FALSE,1.10607925425489,0.0018303660777256,0.00127987441193841,0.00127987441193841
"83",1276,"20200803_0949_blob_1276_","caice_ssa_final_0805_0949","C29",705,784,2953.684211,2954,"Eicosane, 7-hexyl-",734,780,NA,"C26H54","C29H60",NA,366,FALSE,FALSE,NA,FALSE,1.1217937906574,0.00180766449019054,0.00127987441193841,0.00127987441193841
"84",623,"20200803_0949_blob_623_","caice_ssa_final_0805_0949","levoglucosan",886,888,1726.582278,1727,"Levoglucosan, 3TMS derivative",874,889,1694,"C15H34O5Si3","C6H10O5",NA,378,FALSE,FALSE,NA,FALSE,1.54750535403503,0.00116885861785912,0.000947111642141823,0.000947111642141823
"85",958,"20200803_1535_blob_958_","caice_ssa_final_0803_1535","Benzothiazole",930,930,1248.78643,1246,"Benzothiazole",920,921,1229,"C7H5NS","C7H5NS",NA,135,FALSE,FALSE,NA,TRUE,2.57550739663113,0.106004522659025,0.0850184368853867,0.0850184368853867
"86",1483,"20200803_0949_blob_1483_","caice_ssa_final_0805_0949","C7 acid",223,253,1323.587479,NA,"Phthalic anhydride",884,904,1313,"C8H4O3","C8H4O3",NA,148,TRUE,FALSE,NA,TRUE,3.51942151408492,0.035368467468933,0.035368467468933,NA
