,Compound.Name,slope.avg,d_alkane_RTI,inverse_slope,Category
101,pinonic acid,0.009401827,1549,106.3623097,Acid
102,pyrene,0.000150166,2170,6659.28906,Arom
103,Pyrocatechoic acid,0.000158161,1846,6322.679512,Cat
104,Quinoline,0.033337811,1256,29.99597056,Arom
105,resorcinol,0.011328409,1398,88.27364636,Cat
106,sinapinaldehyde,0.000817176,2033,1223.726583,Aldehyde
107,squalene,0.001924756,2867,519.5463906,Alkane
108,stigmasterol,0.003841003,3346,260.348633,Sterol
109,syringaldehyde,0.00042859,1725,2333.231166,Aldehyde
110,syringic acid,0.000302603,1926,3304.660592,Acid
111,syringol,0.043707318,1418,22.87946386,Alcohol
112,"Tartaric acid, 4TMS",0.003372853,1659,296.4849335,Acid
113,threitol,0.017409501,1521,57.43990127,Alcohol
114,trans ferulic acid,0.000401975,2124,2487.714239,Acid
115,triacetin,0.013748818,1351,72.73352356,Misc
116,Tricarballylic acid,0.000320919,1757,3116.047106,Acid
117,tridecanal,0.097362819,1537,10.27086122,Aldehyde
118,vanillic acid,0.000273472,1789,3656.687622,Acid
119,vanillin,0.005627392,1557,177.70222,Aldehyde
120,xanthone,0.000829553,1905,1205.46869,Ketone
