cpnd,slope.avg,d_alkane_RTI,inverse_slope,Category,Correction Factor,Corrected_inverse_slope,,,,,,,,,,,
FAME18 (Methyl Stearate),0.000508042,2161,1968.342068,Acid,2175.539,0.904760644,,,,,,,,,,,
Caffeic acid,0.000386698,2168,2585.994164,Acid,2166.432,1.193665051,,,,,,,,,,,
pyrene,0.000202079,2170,4948.563201,Arom,2163.83,2.286946387,,,,,,,,,,,
C17 acid,0.000923461,2177,1082.882187,Acid,2154.723,0.502562133,,,,,,,,,,,
octadecanol,0.000150585,2189,6640.779094,Alcohol,2139.111,3.104457457,,,,,,,,,,,
hexadecanamide,0.00185928,2212,537.8424928,Amide,2109.188,0.254999788,,,,,,,,,,,
C22,0.000432061,2238,2314.489478,Alkane,2075.362,1.115222057,,,,,,,,,,,
4-Benzoylbenzoic acid,0.000349968,2242,2857.401336,Acid,2070.158,1.380281764,,,,,,,,,,,
"linoleic Acid, TMS",0.001151151,2245,868.6953985,Acid,2066.255,0.420420228,,,,,,,,,,,
"oleic Acid, TMS",0.000465661,2252,2147.486487,Acid,2057.148,1.043914433,,,,,,,,,,,
"cis-Vaccenic Acid, TMS",0.000640215,2258,1561.974857,Acid,2049.342,0.762183597,,,,,,,,,,,
C18 Acid,0.00023713,2280,4217.097411,Acid,2020.72,2.08692813,,,,,,,,,,,
"4, 4 dimethoxy-benzophenone",0.00107513,2292,930.1196689,Ketone,2005.108,0.463875097,,,,,,,,,,,
C14 Diacid,0.000575567,2318,1737.418525,Acid,1971.282,0.88136478,,,,,,,,,,,
C23,0.000512979,2342,1949.398222,Alkane,1940.058,1.004814404,,,,,,,,,,,
isopimaric acid,0.000449342,2383,2225.476117,Acid,1886.717,1.179549512,,,,,,,,,,,
"eicosanol, TMS",0.000567376,2392,1762.499987,Alcohol,1875.008,0.939995982,,,,,,,,,,,
"16-OH C16 Acid, TMS",0.001214385,2430,823.462278,Acid,1825.57,0.451071325,,,,,,,,,,,
Dehydroabietic acid,0.000322317,2430,3102.539938,Acid,1825.57,1.699491084,,,,,,,,,,,
C24,0.000506833,2443,1973.036464,Alkane,1808.657,1.090884819,,,,,,,,,,,
abietic acid,0.003096402,2468,322.9555228,Acid,1776.132,0.181830811,,,,,,,,,,,
"12-OH C18 Acid, TMS",0.000786438,2471,1271.555815,Acid,1772.229,0.717489565,,,,,,,,,,,
chrysene,0.000513913,2527,1945.853645,Arom,1699.373,1.14504211,,,,,,,,,,,
C25,0.000689904,2545,1449.477595,Alkane,1675.955,0.864866655,,,,,,,,,,,
monopalmitin,0.001092347,2629,915.4596629,Alcohol,1566.671,0.584334339,,,,,,,,,,,
C26,0.001150653,2649,869.0717938,Alkane,1540.651,0.564093876,,,,,,,,,,,
C22 acid,0.001313572,2683,761.2828531,Acid,1496.417,0.508737105,,,,,,,,,,,
C27,0.000987417,2750,1012.743094,Alkane,1409.25,0.718639768,,,,,,,,,,,
monostearin,0.001224731,2827,816.5061036,Alcohol,1309.073,0.623728473,,,,,,,,,,,
C28,0.000842085,2852,1187.528683,Alkane,1276.548,0.930265593,,,,,,,,,,,
squalene,0.001929976,2867,518.141251,Alkane,1257.033,0.412193833,,,,,,,,,,,
C24 acid,0.00109834,2888,910.4645358,Acid,1229.712,0.740388429,,,,,,,,,,,
C29,0.001045254,2954,956.7054161,Alkane,1143.846,0.83639355,,,,,,,,,,,
perylene,0.000525925,2965,1901.412197,Arom,1129.535,1.68335837,,,,,,,,,,,
C30,0.001089617,3058,917.7538923,Alkane,1008.542,0.909980836,,,,,,,,,,,
C26 acid,0.001542983,3091,648.0951856,Acid,965.609,0.671177656,,,,,,,,,,,
C31,0.001281479,3160,780.3484959,Alkane,875.84,0.89097152,,,,,,,,,,,
cholesterol,0.000663108,3209,1508.049626,Sterol,812.091,1.856995862,,,,,,,,,,,
C32,0.001378662,3261,725.3407418,Alkane,744.439,0.974345436,,,,,,,,,,,
dibenz(ah)anthracene,0.001869127,3278,535.0089892,Arom,722.322,0.74067935,,,,,,,,,,,
C28 acid,0.001662509,3292,601.5005471,Acid,704.108,0.854273133,,,,,,,,,,,
stigmasterol,0.001582505,3346,631.9096844,Sterol,633.854,0.99693255,,,,,,,,,,,
C33,0.001548521,3362,645.7775118,Alkane,613.038,1.053405355,,,,,,,,,,,
beta-sitosterol,0.001599394,3407,625.236792,Sterol,554.493,1.12758284,,,,,,,,,,,
C34,0.00187555,3461,533.1769191,Alkane,484.239,1.101061499,,,,,,,,,,,
a-Amyrin,0.000635849,3480,1572.700664,Alcohol,459.52,3.422485776,,,,,,,,,,,
C35,0.002157277,3565,463.5474002,Alkane,348.935,1.328463468,,,,,,,,,,,
