,cpnd,dates,slope,r2,d_alkane_RTI
53,"eicosanol, TMS",7/31/2020,0.000503959,0.994865275,2392
54,DPPA,7/31/2020,0.001208833,0.91185511,1954
55,dodecyl benzene,7/31/2020,0.000512874,0.990621273,1920
56,DL-B-hydroxymyristic acid,7/31/2020,0.000305621,0.996000299,2058
57,"dimethyl Glutaric Acid, TMS",7/31/2020,0.00565733,0.964411015,1456
58,dibenz(ah)anthracene,7/31/2020,0.002039302,0.997046088,3278
59,Dehydroabietic acid,7/31/2020,0.000330299,0.989805647,2430
60,DEET,7/31/2020,0.001359142,0.996853749,1599
61,"Citronellol, TMS",7/31/2020,0.042569531,0.978899699,1317
62,"cis-Vaccenic Acid, TMS",7/31/2020,0.000642436,0.966854471,2258
63,chrysene,7/31/2020,0.000485762,0.978240441,2527
64,cholesterol,7/31/2020,0.000569733,0.987693534,3209
65,Caffeic acid,7/31/2020,0.000377102,0.985513711,2168
66,C9 Diacid (azelaic acid),7/31/2020,0.000307295,0.984570287,1822
67,C9 acid,7/31/2020,0.004530255,0.944298635,1375
68,C8 acid,7/31/2020,0.007477288,0.942208015,1269
69,C35,7/31/2020,0.001908871,0.986943675,3565
70,C34,7/31/2020,0.001646393,0.98774676,3461
71,C33,7/31/2020,0.001342561,0.978494459,3362
72,C32,7/31/2020,0.001239306,0.971133269,3261
73,C31,7/31/2020,0.001149829,0.980161457,3160
74,C30,7/31/2020,0.000945675,0.977798444,3058
75,C29,7/31/2020,0.001013035,0.987647283,2954
76,C28 acid,7/31/2020,0.001541187,0.976945127,3292
77,C28,7/31/2020,0.00083362,0.996461643,2852
78,C27,7/31/2020,0.001004369,0.997856204,2750
79,C26 acid,7/31/2020,0.001281098,0.973117392,3091
80,C26,7/31/2020,0.00124401,0.998282899,2649
81,C25,7/31/2020,0.000682906,0.994713621,2545
82,C24 acid,7/31/2020,0.000984275,0.963085751,2888
83,C24,7/31/2020,0.000504399,0.996042298,2443
84,C23,7/31/2020,0.00051562,0.995226472,2342
85,C22 acid,7/31/2020,0.001359161,0.998700676,2683
86,C22,7/31/2020,0.000443546,0.989241944,2238
87,C21,7/31/2020,0.000365395,0.992310146,2136
88,C20,7/31/2020,0.000390767,0.994779438,2035
89,C19,7/31/2020,0.000395768,0.986766509,1934
90,C18 Acid,7/31/2020,0.000236083,0.999180608,2280
91,C18,7/31/2020,0.00057939,0.991738592,1831
92,C17 acid,7/31/2020,0.000837274,0.949767297,2177
93,C17,7/31/2020,0.004757279,0.99908978,1729
94,C16 Acid,7/31/2020,0.00032105,0.942585717,2079
95,C16,7/31/2020,0.011432062,0.974799471,1627
96,C14 Diacid,7/31/2020,0.000552721,0.956860492,2318
97,C13 acid,7/31/2020,0.000428185,0.988631596,1776
98,C12 diacid,7/31/2020,0.000422618,0.954568544,2120
99,C10 diacid (sebacic acid),7/31/2020,0.000338506,0.916519074,1923
100,C10 carboxylic acid,7/31/2020,0.010976164,0.984912739,1479
101,beta-sitosterol,7/31/2020,0.00120784,0.973415482,3407
102,"Benzothiazole, 2-phenyl-",7/31/2020,0.000435558,0.997983356,2024
103,Benzothiazole,7/31/2020,0.008744758,0.996234354,1246
104,benzophenone,7/31/2020,0.00063758,0.997458801,1662
105,arabitol,7/31/2020,0.001591144,0.963361172,1744
106,anthraquinone,7/31/2020,0.000742061,0.965131633,2017
107,abietic acid,7/31/2020,0.001149445,0.824803695,2468
108,a-Amyrin,7/31/2020,0.000564462,0.974099166,3480
109,9H-Florenone,7/31/2020,0.000238023,0.912779642,1776
110,4-nitrocatechol,7/31/2020,0.000854194,0.950943866,1770
111,4-hydroxybenzoic acid,7/31/2020,0.002199341,0.976971367,1651
112,4-Bromodiphenylamine,7/31/2020,0.000465751,0.988137083,1993
113,4-Benzoylbenzoic acid,7/31/2020,0.000310569,0.972606733,2242
114,"4, 4 dimethoxy-benzophenone",7/31/2020,0.000938809,0.966748479,2292
115,3-5-dimethoxyphenol,7/31/2020,0.00344014,0.989362642,1525
116,2-mercaptobenzothiazole,7/31/2020,0.012783306,0.879415141,2000
117,"2-Ketoglutaric acid, tri-TMS",7/31/2020,0.049117682,0.92986555,1629
118,2-(methylmercapto)benzothiazole,7/31/2020,0.015076648,0.990200803,1637
119,"16-OH C16 Acid, TMS",7/31/2020,0.001215132,0.999239504,2430
120,"12-OH C18 Acid, TMS",7/31/2020,0.000901344,0.972407212,2471
121,xanthone,8/7/2020,0.000943621,0.967060598,1905
122,vanillin,8/7/2020,0.003620221,0.955764258,1557
123,vanillic acid,8/7/2020,0.000254623,0.943944289,1789
124,tridecanal,8/7/2020,0.013862291,0.9216039,1537
125,Tricarballylic acid,8/7/2020,0.000246752,0.907071084,1757
126,triacetin,8/7/2020,0.008603833,0.813313014,1351
127,trans ferulic acid,8/7/2020,0.000425361,0.93934154,2124
128,threitol,8/7/2020,0.001702264,0.996579187,1521
129,"Tartaric acid, 4TMS",8/7/2020,0.000452984,0.883275173,1659
130,syringol,8/7/2020,0.003916563,0.983387258,1418
131,syringic acid,8/7/2020,0.000252497,0.980381119,1926
132,syringaldehyde,8/7/2020,0.000454375,0.969570426,1725
133,stigmasterol,8/7/2020,0.001757702,0.998364461,3346
134,squalene,8/7/2020,0.002003484,0.947115172,2867
135,sinapinaldehyde,8/7/2020,0.001137582,0.978064662,2033
136,resorcinol,8/7/2020,0.001062331,0.959179489,1398
137,Quinoline,8/7/2020,0.004370132,0.904109291,1256
138,Pyrocatechoic acid,8/7/2020,0.000149073,0.935507182,1846
139,pyrene,8/7/2020,0.000249504,0.959978369,2170
140,pinonic acid,8/7/2020,0.009304554,0.985740662,1549
141,pinic acid 2,8/7/2020,0.001477624,0.982952364,1697
142,pinic acid 1,8/7/2020,0.001409264,0.987958362,1692
143,phthalimide,8/7/2020,0.00329401,0.990824076,1592
144,phthalic acid,8/7/2020,0.002667911,0.984707131,1714
145,perylene,8/7/2020,0.000637579,0.974186517,2965
146,pentadecanone,8/7/2020,0.00061195,0.949870802,1727
147,p-anisic acid (4-methozybenzoic acid),8/7/2020,0.0051981,0.992549197,1544
148,"oleic Acid, TMS",8/7/2020,0.00046225,0.988877914,2252
149,octadecanone,8/7/2020,0.00045248,0.983045755,2032
150,octadecanol,8/7/2020,0.000135893,0.991631229,2189
151,monostearin,8/7/2020,0.001254059,0.991599127,2827
152,monopalmitin,8/7/2020,0.001083397,0.992487135,2629
153,Me-OH-glutatric acid,8/7/2020,0.005386802,0.961702825,1623
154,MBTCA,8/7/2020,0.000316108,0.995739975,1776
155,mannosan,8/7/2020,0.001688685,0.926446749,1706
156,maltol,8/7/2020,0.038084442,0.989695335,1287
157,"Malic acid, 3TMS derivative",8/7/2020,0.00803154,0.957238406,1510
158,"linoleic Acid, TMS",8/7/2020,0.001190289,0.986689468,2245
159,levoglucosan,8/7/2020,0.000505464,0.998451735,1727
160,ketopinic acid,8/7/2020,0.005312652,0.991142314,1529
161,isopimaric acid,8/7/2020,0.000438514,0.981109048,2383
162,ionone,8/7/2020,0.046556612,0.998750587,1447
163,hydroquinone,8/7/2020,0.001106948,0.949792999,1419
164,"homosalate, TMS",8/7/2020,0.00043674,0.920807834,2055
165,Hexadecanol,8/7/2020,0.000363529,0.98667269,1992
166,hexadecanamide,8/7/2020,0.002104575,0.988203098,2212
167,gamma dodecalactone,8/7/2020,0.000872634,0.930522349,1708
168,galactosan,8/7/2020,0.002066588,0.984298877,1684
169,Farnesol,8/7/2020,0.003256988,0.946236659,1804
170,FAME18 (Methyl Stearate),8/7/2020,0.000563268,0.988326775,2161
171,FAME16 (Methyl Palmitate),8/7/2020,0.000342139,0.96752626,1958
172,erythreitol,8/7/2020,0.001322992,0.994195639,1529
173,"eicosanol, TMS",8/7/2020,0.000630793,0.990703589,2392
174,DPPA,8/7/2020,0.001461413,0.9682453,1954
175,dodecyl benzene,8/7/2020,0.000440145,0.985829979,1920
176,DL-B-hydroxymyristic acid,8/7/2020,0.00030823,0.980941945,2058
177,"dimethyl Glutaric Acid, TMS",8/7/2020,0.005165655,0.958855804,1456
178,dibenz(ah)anthracene,8/7/2020,0.001698952,0.981062796,3278
179,Dehydroabietic acid,8/7/2020,0.000314334,0.965522134,2430
180,DEET,8/7/2020,0.002064528,0.98255401,1599
181,"Citronellol, TMS",8/7/2020,0.039087835,0.964928036,1317
182,"cis-Vaccenic Acid, TMS",8/7/2020,0.000637995,0.976905065,2258
183,chrysene,8/7/2020,0.000542065,0.978921189,2527
184,cholesterol,8/7/2020,0.000756483,0.990461211,3209
185,Caffeic acid,8/7/2020,0.000396295,0.981949769,2168
186,C9 Diacid (azelaic acid),8/7/2020,0.000257205,0.981306148,1822
187,C9 acid,8/7/2020,0.008515811,0.959369694,1375
188,C8 acid,8/7/2020,0.009218569,0.971684717,1269
189,C35,8/7/2020,0.002405682,0.99857693,3565
190,C34,8/7/2020,0.002104707,0.999806181,3461
191,C33,8/7/2020,0.00175448,0.999158929,3362
192,C32,8/7/2020,0.001518019,0.995594162,3261
193,C31,8/7/2020,0.001413128,0.999340553,3160
194,C30,8/7/2020,0.001233559,0.999271842,3058
195,C29,8/7/2020,0.001077473,0.997726783,2954
196,C28 acid,8/7/2020,0.00178383,0.995591248,3292
197,C28,8/7/2020,0.00085055,0.992265521,2852
198,C27,8/7/2020,0.000970466,0.993936019,2750
199,C26 acid,8/7/2020,0.001804869,0.997513836,3091
200,C26,8/7/2020,0.001057296,0.984844863,2649
201,C25,8/7/2020,0.000696901,0.99356674,2545
202,C24 acid,8/7/2020,0.001212406,0.990888524,2888
203,C24,8/7/2020,0.000509267,0.98483968,2443
204,C23,8/7/2020,0.000510338,0.996804468,2342
205,C22 acid,8/7/2020,0.001267984,0.992043133,2683
206,C22,8/7/2020,0.000420575,0.98916811,2238
207,C21,8/7/2020,0.000356804,0.991926867,2136
208,C20,8/7/2020,0.000342156,0.98690831,2035
209,C19,8/7/2020,0.000320749,0.945584502,1934
210,C18 Acid,8/7/2020,0.000238177,0.993785148,2280
211,C18,8/7/2020,0.000479339,0.979043567,1831
212,C17 acid,8/7/2020,0.001009649,0.979963259,2177
213,C17,8/7/2020,0.005625656,0.975477821,1729
214,C16 Acid,8/7/2020,0.000352884,0.952506301,2079
215,C16,8/7/2020,0.018846236,0.982049985,1627
216,C14 Diacid,8/7/2020,0.000598412,0.974591621,2318
217,C13 acid,8/7/2020,0.000436776,0.987990714,1776
218,C12 diacid,8/7/2020,0.000451536,0.973480399,2120
219,C10 diacid (sebacic acid),8/7/2020,0.000420604,0.95519684,1923
220,C10 carboxylic acid,8/7/2020,0.011968093,0.989419248,1479
221,beta-sitosterol,8/7/2020,0.001990948,0.999658596,3407
222,"Benzothiazole, 2-phenyl-",8/7/2020,0.000393029,0.989474744,2024
223,Benzothiazole,8/7/2020,0.017218292,0.932789791,1246
224,benzophenone,8/7/2020,0.000530161,0.993028888,1662
225,arabitol,8/7/2020,0.000400048,0.976200918,1744
226,anthraquinone,8/7/2020,0.000970092,0.986357684,2017
227,abietic acid,8/7/2020,0.005043358,0.969885399,2468
228,a-Amyrin,8/7/2020,0.000707236,0.989702331,3480
229,9H-Florenone,8/7/2020,0.000202047,0.920378218,1776
230,4-nitrocatechol,8/7/2020,0.000822878,0.982287574,1770
231,4-hydroxybenzoic acid,8/7/2020,0.003066329,0.992235978,1651
232,4-Bromodiphenylamine,8/7/2020,0.000389473,0.974102486,1993
233,4-Benzoylbenzoic acid,8/7/2020,0.000389368,0.978457219,2242
234,"4, 4 dimethoxy-benzophenone",8/7/2020,0.001211452,0.993355061,2292
235,3-5-dimethoxyphenol,8/7/2020,0.003145107,0.983565515,1525
236,2-mercaptobenzothiazole,8/7/2020,0.008509898,0.981174269,2000
237,"2-Ketoglutaric acid, tri-TMS",8/7/2020,0.12463393,0.98716255,1629
238,2-(methylmercapto)benzothiazole,8/7/2020,0.001535411,0.952538478,1637
239,"16-OH C16 Acid, TMS",8/7/2020,0.001213637,0.96342717,2430
240,"12-OH C18 Acid, TMS",8/7/2020,0.000671532,0.966271748,2471
