Compound.Name,Cal_pt_1,Cal_pt_2,Cal_pt_3,Cal_pt_4,Cal_pt_5,Cal_pt_6,Check
ketopinic acid,0,4,8,20,40,80,FALSE
isopimaric acid,0,2,4,10,20,40,FALSE
isoeugenol,0,2,4,10,20,40,FALSE
ionone,0,4,8,20,40,80,FALSE
hydroquinone,0,2,4,10,20,40,FALSE
"homosalate, TMS",0,2,4,10,20,40,FALSE
Hexadecanol,0,2,4,10,20,40,FALSE
hexadecanamide,0,2,4,10,20,40,FALSE
gamma dodecalactone,0,2,4,10,20,40,FALSE
galactosan,0,2,4,10,20,40,FALSE
Farnesol,0,2,4,10,20,40,FALSE
FAME18 (Methyl Stearate),0,2,4,10,20,40,FALSE
FAME16 (Methyl Palmitate),0,2,4,10,20,40,FALSE
erythreitol,0,2,4,10,20,40,FALSE
"eicosanol, TMS",0,2,4,10,20,40,FALSE
DPPA,0,2,4,10,20,40,FALSE
dodecyl benzene,0,2,4,10,20,40,FALSE
DL-B-hydroxymyristic acid,0,2,4,10,20,40,FALSE
"dimethyl Glutaric Acid, TMS",0,4,8,20,40,80,FALSE
dibenz(ah)anthracene,0,0.5,1,2.5,5,10,FALSE
deoxycholic acid,0,4,8,20,40,80,FALSE
Dehydroabietic acid,0,2,4,10,20,40,FALSE
DEET,0,2,4,10,20,40,FALSE
"Citronellol, TMS",0,4,8,20,40,80,FALSE
"cis-Vaccenic Acid, TMS",0,2,4,10,20,40,FALSE
chrysene,0,0.5,1,2.5,5,10,FALSE
cholesterol,0,2,4,10,20,40,FALSE
Caffeic acid,0,2,4,10,20,40,FALSE
C9 Diacid (azelaic acid),0,2,4,10,20,40,FALSE
C9 acid,0,1.5,3,7.5,15,30,FALSE
C8 acid,0,1.5,3,7.5,15,30,FALSE
C7 acid,0,1.5,3,7.5,15,30,FALSE
C35,0,2,4,10,20,40,FALSE
C34,0,2,4,10,20,40,FALSE
C33,0,2,4,10,20,40,FALSE
C32,0,2,4,10,20,40,FALSE
C31,0,2,4,10,20,40,FALSE
C30,0,2,4,10,20,40,FALSE
C29,0,2,4,10,20,40,FALSE
C28 acid,0,1.5,3,7.5,15,30,FALSE
C28,0,2,4,10,20,40,FALSE
C27,0,2,4,10,20,40,FALSE
C26 acid,0,1.5,3,7.5,15,30,FALSE
C26,0,2,4,10,20,40,FALSE
C25,0,2,4,10,20,40,FALSE
C24 acid,0,1.5,3,7.5,15,30,FALSE
C24,0,2,4,10,20,40,FALSE
C23,0,2,4,10,20,40,FALSE
C22 acid,0,1.5,3,7.5,15,30,FALSE
C22,0,2,4,10,20,40,FALSE
C21,0,2,4,10,20,40,FALSE
C20,0,2,4,10,20,40,FALSE
C19,0,2,4,10,20,40,FALSE
C18 Acid,0,1.5,3,7.5,15,30,FALSE
C18,0,2,4,10,20,40,FALSE
C17 acid,0,1.5,3,7.5,15,30,FALSE
C17,0,2,4,10,20,40,FALSE
C16 Acid,0,1.5,3,7.5,15,30,FALSE
C16,0,2,4,10,20,40,FALSE
C14 Diacid,0,2,4,10,20,40,FALSE
C13 acid,0,1.5,3,7.5,15,30,FALSE
C12 diacid,0,2,4,10,20,40,FALSE
C10 diacid (sebacic acid),0,2,4,10,20,40,FALSE
C10 carboxylic acid,0,1.5,3,7.5,15,30,FALSE
bisabolol,0,4,8,20,40,80,TRUE
beta-sitosterol,0,0.5,1,2.5,5,10,FALSE
"Benzothiazole, 2-phenyl-",0,2,4,10,20,40,FALSE
Benzothiazole,0,2,4,10,20,40,FALSE
benzophenone,0,2,4,10,20,40,FALSE
arabitol,0,2,4,10,20,40,FALSE
anthraquinone,0,0.5,1,2.5,5,10,FALSE
a-bisabolol,0,4,8,20,40,80,TRUE
abietic acid,0,2,4,10,20,40,FALSE
a-Amyrin,0,2,4,10,20,40,FALSE
9H-Florenone,0,0.5,1,2.5,5,10,FALSE
4-nitrocatechol,0,2,4,10,20,40,FALSE
4-hydroxybenzoic acid,0,2,4,10,20,40,FALSE
4-Bromodiphenylamine,0,2,4,10,20,40,FALSE
4-Benzoylbenzoic acid,0,2,4,10,20,40,FALSE
"4, 4 dimethoxy-benzophenone",0,0.5,1,2.5,5,10,FALSE
3-5-dimethoxyphenol,0,2,4,10,20,40,FALSE
2-mercaptobenzothiazole,0,6,12,30,60,120,FALSE
"2-Ketoglutaric acid, tri-TMS",0,6,12,30,60,120,FALSE
2-(methylmercapto)benzothiazole,0,2,4,10,20,40,FALSE
"16-OH C16 Acid, TMS",0,2,4,10,20,40,FALSE
"12-OH C18 Acid, TMS",0,2,4,10,20,40,FALSE

