"","Compound.Name","slope.avg","d_alkane_RTI","inverse_slope","Category"
"41","C26",0.00255042913025895,2649,392.090879191953,"Alkane"
"42","C26 acid",0.00349739523806859,3091,285.927077704904,"Acid"
"43","C27",0.00236297493203473,2750,423.195348559585,"Alkane"
"44","C28",0.00202775793189427,2852,493.155511449943,"Alkane"
"45","C28 acid",0.00400276849892073,3292,249.827088493784,"Acid"
"46","C29",0.00215180421932046,2954,464.726293879934,"Alkane"
"47","C30",0.00224052525285203,3058,446.323913880046,"Alkane"
"48","C31",0.00267886831110315,3160,373.291959091563,"Alkane"
"49","C32",0.00331985528469261,3261,301.217949050629,"Alkane"
"50","C33",0.00401749864932876,3362,248.911097995535,"Alkane"
"51","C34",0.00478200166847968,3461,209.117451085692,"Alkane"
"52","C35",0.00550883053256331,3565,181.526731325077,"Alkane"
"53","C8 acid",0.0718120451490756,1269,13.9252405069942,"Acid"
"54","C9 acid",0.0774700888289406,1375,12.9082077368992,"Acid"
"55","C9 Diacid (azelaic acid)",0.000282911578505972,1822,3534.67329008201,"Acid"
"56","Caffeic acid",0.000405959177512053,2168,2463.30186726794,"Acid"
"57","cholesterol",0.00159490896332308,3209,626.995034197092,"Sterol"
"58","chrysene",0.000305519005888093,2527,3273.1187936841,"Arom"
"59","cis-Vaccenic Acid, TMS",0.000671712437162156,2258,1488.73229774454,"Acid"
"60","Citronellol, TMS",0.488907763076531,1317,2.04537558108576,"Alcohol"
"61","DEET",0.00142745542924572,1599,700.547267194471,"Amide"
"62","Dehydroabietic acid",0.00068491675255922,2430,1460.03145092226,"Acid"
"63","dibenz(ah)anthracene",0.00383569591449939,3278,260.708883678678,"Arom"
"64","dimethyl Glutaric Acid, TMS",0.110878709941648,1456,9.0188639507645,"Acid"
"65","DL-B-hydroxymyristic acid",0.000353397078563953,2058,2829.67817409117,"Acid"
"66","dodecyl benzene",0.000477375907489189,1920,2094.78522965185,"Arom"
"67","DPPA",0.00127762480540591,1954,782.702398833195,"Misc"
"68","eicosanol, TMS",0.00136729935978713,2392,731.36873270802,"Alcohol"
"69","erythreitol",0.0196201395754006,1529,50.9680370089612,"Alcohol"
"70","FAME16 (Methyl Palmitate)",0.000386022889830176,1958,2590.51995709356,"Acid"
"71","FAME18 (Methyl Stearate)",0.000533546845860726,2161,1874.24967040483,"Acid"
"72","Farnesol",0.00463175659471315,1804,215.900809887427,"Alcohol"
"73","galactosan",0.0028383451741918,1684,352.317966501288,"Sugar"
"74","gamma dodecalactone",0.000638703686040878,1708,1565.67125234345,"Sugar"
"75","hexadecanamide",0.00186953556567461,2212,534.892204438569,"Amide"
"76","Hexadecanol",0.000436805140866247,1992,2289.35034513756,"Alcohol"
"77","homosalate, TMS",0.000333561608099365,2055,2997.94693309582,"Misc"
"78","hydroquinone",0.0247198407939218,1419,40.4533349683176,"Arom"
"79","ionone",0.21322698081259,1447,4.68983801294321,"Ketone"
"80","isopimaric acid",0.000404193783713297,2383,2474.06081017149,"Acid"
"81","ketopinic acid",0.0511026390506806,1529,19.5684610144744,"Acid"
"82","levoglucosan",0.000939776758151459,1727,1064.08249759975,"Sugar"
"83","linoleic Acid, TMS",0.00120784181482871,2245,827.922984386673,"Acid"
"84","Malic acid, 3TMS derivative",0.110249013957388,1510,9.07037590727572,"Acid"
"85","maltol",0.741077525843555,1287,1.34938648808938,"Alcohol"
"86","mannosan",0.00197707347673296,1706,505.798095907119,"Sugar"
"87","MBTCA",0.000299347925816064,1776,3340.59438452383,"Acid"
"88","Me-OH-glutatric acid",0.00848021744166126,1623,117.921504593413,"Acid"
"89","monopalmitin",0.00252760355837687,2629,395.631663314385,"Alcohol"
"90","monostearin",0.00293618998336266,2827,340.577416879119,"Alcohol"
"91","octadecanol",0.000158071312807459,2189,6326.25858695856,"Alcohol"
"92","octadecanone",0.000545046370577253,2032,1834.70628185435,"Ketone"
"93","oleic Acid, TMS",0.000488617059766172,2252,2046.59247976023,"Acid"
"94","p-anisic acid (4-methozybenzoic acid)",0.0416252517984676,1544,24.0238786984783,"Acid"
"95","pentadecanone",0.000687483706721803,1727,1454.57992709151,"Ketone"
"96","perylene",0.000915288131836443,2965,1092.55213218333,"Arom"
"97","phthalic acid",0.00219964294407522,1714,454.619238405724,"Acid"
"98","phthalimide",0.02714559582515,1592,36.838388313198,"Misc"
"99","pinic acid 1",0.00142640726708329,1692,701.062048039616,"Acid"
"100","pinic acid 2",0.0133156597306056,1697,75.0995459655319,"Acid"
"101","pinonic acid",0.0367063927936935,1549,27.2432108930031,"Acid"
"102","pyrene",0.000207095954841533,2170,4828.67954019278,"Arom"
"103","Pyrocatechoic acid",0.000156798875625331,1846,6377.59675260357,"Cat"
"104","Quinoline",0.0473581065008455,1256,21.1157090915818,"Arom"
"105","resorcinol",0.0155801223715954,1398,64.184348245116,"Cat"
"106","sinapinaldehyde",0.00101288953940358,2033,987.274486602784,"Aldehyde"
"107","squalene",0.00491350066177372,2867,203.520884362517,"Alkane"
"108","stigmasterol",0.00379624272694391,3346,263.418351229883,"Sterol"
"109","syringaldehyde",0.000397485725455813,1725,2515.81361532734,"Aldehyde"
"110","syringic acid",0.000301011031434796,1926,3322.13738225277,"Acid"
"111","syringol",0.060740668621579,1418,16.4634341816372,"Alcohol"
"112","Tartaric acid, 4TMS",0.000789578020378919,1659,1266.49928720166,"Acid"
"113","threitol",0.0239887089714009,1521,41.6862783733876,"Alcohol"
"114","trans ferulic acid",0.000420759925572416,2124,2376.65219338454,"Acid"
"115","triacetin",0.0104864301345008,1351,95.3613371923359,"Misc"
"116","Tricarballylic acid",0.000283519271385224,1757,3527.09710036351,"Acid"
"117","tridecanal",0.214032534002898,1537,4.67218689279482,"Aldehyde"
"118","vanillic acid",0.000270971847813433,1789,3690.42027084862,"Acid"
"119","vanillin",0.0316077925776853,1557,31.6377677290247,"Aldehyde"
"120","xanthone",0.000754117666782515,1905,1326.05300743922,"Ketone"
